,link,title,year,synopsis
1223,/wiki/True_Beauty_(South_Korean_TV_series),True Beauty (South Korean TV series),2020–21,"18-year-old high school student Lim Ju-kyung (Moon Ga-young), who has an inferiority complex regarding her appearance, has been constantly discriminated by her family and bullied by her peers due to being perceived as ugly. She starts learning how to use makeup by binge-watching makeup tutorial videos on the Internet. When she masters the art just before transferring to her new school, her makeover proves to be transformative as she quickly rises to fame and her peers call her a ""goddess"".
"
1224,/wiki/Tunnel_(South_Korean_TV_series),Tunnel (South Korean TV series),2017,"In 1986, Park Gwang-ho works as a successful detective in an enthusiastic manner. However, his life changes when he takes the lead in a serial homicide case and when he passes through a tunnel while chasing the ""culprit"". He time travels 30 years into the future (2016), where he meets a new partner, Kim Seon-jae, an eccentric elite detective that has a high ability in investigation. When the serial killer continues his ""modis operandi"" of his murders that happened 30 years ago, the detective duo works together with a Criminal psychologist, Professor Shin Jae-yi to solve the unsolved murders and to catch the murderer.
"
1225,/wiki/Twelve_Nights,Twelve Nights,2018,"It tells the story of two people who spend twelve nights together over three trips in 2010, 2015 and 2018.
"
1226,/wiki/Twinkle_Twinkle_(TV_series),Twinkle Twinkle (TV series),2011,"Twinkle, Twinkle is a light, cheerful, and heartwarming family drama that tells the success story of Han Jung-won (Kim Hyun-joo), a workaholic career woman who is determined to make her own way in the world without the help of her family, which has garnered considerable wealth from their publishing company.
"
1227,/wiki/Two_Cops_(TV_series),Two Cops (TV series),2017–18,"A single-minded, dedicated violent crimes detective who finds himself cohabiting his own body with the soul of a sleazy con artist; and falls in love with a feisty rookie reporter.
"
1228,/wiki/Two_Mothers_(TV_series),Two Mothers (TV series),2014,"Hwa-young believes that Yeon-hee, her brother's ex-girlfriend, drove him to his death. When the unhappily married Yeon-hee is diagnosed with uterine cancer, Hwa-young volunteers to become a surrogate mother for her, all the while planning her revenge. Hwa-young conceives and gives birth, lets Yeon-hee raise the child, then destroys Yeon-hee by trying to take the child back. Later, Yeon-hee tries her best to get her child back. Yeon-hee's husband regrets for letting Yeon-hee go.
"
1229,/wiki/Two_Outs_in_the_Ninth_Inning,Two Outs in the Ninth Inning,2007,"Aspiring writer Hong Nan-hee is a foul-mouthed, disheveled and jaded single woman struggling with life and love. She and Byun Hyung-tae have been best friends for most of their lives. They cook for each other, call each other daily, bicker like siblings, and support each other when things go wrong. But everything is about to change. On her 30th birthday, Nan-hee realizes that she needs to shake things up. She begins dating Kim Jung-joo, a talented baseball pitcher who is aiming to play in the American big leagues; but Nan-hee's mother disapproves of their relationship because he is eight years younger. Tired of living with her mother, she rents Hyung-tae's house while he is on vacation, but complications arise and soon the two friends are living in the house together. As the old friends navigate new territory, they start to discover things they never knew about each other — he's neurotic, she snores — but more importantly, they gradually realize what their friends and family have always suspected — that, without realizing it, they've been the most important people to each other all along.
"
1230,/wiki/Two_Weeks_(TV_series),Two Weeks (TV series),2013,"Jang Tae-san is a small-time gangster who has learned to survive with his fist and wits. He meets and falls in love with a college student, Seo In-hye, who sees a good heart and wounded soul underneath his tough exterior. When In-hye gets pregnant, Tae-san prepares to leave the gangster organization to start a life with her. But he is blackmailed by the gang boss, Moon Il-seok, who wants Tae-san to be his fall guy for an assault charge and go to prison in his place; Il-seok threatens to kill In-hye if Tae-san refuses. So Tae-san tells In-hye to get an abortion and cruelly breaks up with her, then goes off to prison for several years.
"
1231,/wiki/Two_Wives_(2009_TV_series),Two Wives (2009 TV series),2009,"Kang Chul-soo (Kim Ho-jin) divorces his wife Yoon Young-hee (Kim Ji-young) to start anew with single mother Han Ji-sook (Son Tae-young), with whom he had carried on an affair. After the split, however, Chul-soo gets into a car accident and wakes up with fake memories of Ji-sook. Chul-soo thinks he's still married to Young-hee, and Young-hee and everyone else can only play along while he recovers.
"
1232,/wiki/Two_Women%27s_Room,Two Women's Room,2013–14,"Min Kyung-chae is the vice president of the luxurious Mona Lisa Hotel. When she meets a poor girl named Eun Hee-soo, she takes sympathy and invites Hee-soo and her mother to live together in their house. Kyung-chae's mother resents Hee-soo and her mother with a passion worrying that Hee-soo might take over the house one day. Kyung-chae who thinks that her mother misunderstands Hee-soo treats her like family. Hee-soo who is fascinated by Kyung-chae's luck decides that she will take everything away from Kyung-chae and her family. After she manages to get a job at the hotel, she seduces Kyung-chae's boyfriend, Han Ji-sub into dating her. When Kyung-chae finds out, she feels betrayed and heartbroken when she sees Ji-sub and Hee-soo kissing on the rooftop of the hotel. One day, Hee-soo asks Ji-sub to help get Kyung-chae's father, the CEO of the hotel, Min Dong-chul arrested for corruption. Kyung-chae became determined to find out who did this to her father. Soon after Kyung-chae finds out that it was Hee-soo, they become enemies. Hee-soo then manages to convince the board of directors into firing Kyung-chae from her position as Vice President. Hee-soo goes back to Kyung-chae's house and sets the house on fire killing Kyung-chae's mother, Mrs Yeo who is half-paralyzed. The incident left Kyung-chae, her sister, Eun-chae and her father homeless and penniless. Kyung-chae's father was released because of health conditions and memory loss. Luckily, Kyung-chae gets help from her trusted friend, Jin Soo-hyuk. Soo-hyuk helps Kyung-chae get a job at his restaurant. Soo-hyuk used to work as the hotel's chef but quit when he learnt what happened to Kyung-chae. Meanwhile, Hee-soo becomes the new Vice President of Mona Lisa Hotel. She manages to marry Han Ji-sub and now lives in Kyung-chae's house which had been rebuilt. Kyung-chae and Soo-hyuk soon get a job at the hotel where Soo-hyuk becomes CEO and Kyung-chae is a representative of Mona Lisa Hotel's working partner, Lubyni. Their intentions were to seek revenge on Hee-soo and get back whatever she lost. Hee-soo soon goes through many problems with her in-laws. She fakes a pregnancy and that was the cause for her mother-in-law to lose her trust in Hee-soo. Ji-sub tries to stop Hee-soo before it's too late but Hee-soo would not listen. The bank tries to auction off her house if she did not pay back on time. Feeling stressed and running out of ideas, she tries to get help from her lawyer who eventually turns his back on her too. Kyung-chae sues Hee-soo and gets Hee-soo to go into court. After Hee-soo admits to all her crimes, she is sentenced to life in prison. Hee-soo soon finds out she is dying of a terminal disease. When Kyung-chae finds out she rushes to meet Hee-soo in prison. Hee-soo warns Kyung-chae that she will never seek forgiveness from Kyung-chae and she faints. After being rushed to the hospital, she lies in bed weak and tired. She visits Kyung-chae's deceased mother at the crematorium house and begs for forgiveness. Not long after that, Kyung-chae and Soo-hyuk visit Mrs Yeo together because she had told Soo-hyuk to put on her engagement ring on in front of her mother. That night, Hee-soo calls Kyung-chae to meet her at the hospital. After talking, Hee-soo passes away because of the disease and her mother ends up in prison.
"
1233,/wiki/Ugly_Alert,Ugly Alert,2013,"Gong Joon-soo is a man who's had a rough life and early on had to fend for himself. He takes the blame for a murder his younger sibling commits and serves time in prison. There he learns to sew and acquires a trade. With his newly acquired skills, Joon-soo goes to work for Na Do-hee at a fashion company. Do-hee has inherited her job because her grandfather built the company. But even though she inherited her position, she is serious about doing a good job and is something of a workaholic.
"
1234,/wiki/Ugly_Miss_Young-ae,Ugly Miss Young-ae,2007–2019,"A realistic drama about the thrills and sadness of working women in their 30s, centered around a single woman named Lee Young-ae (Kim Hyun-sook).
"
1235,/wiki/Unasked_Family,Unasked Family,2019–2020,"The story of series depicts the life changing story of Kang Yeo-Won (Choi Yoon-so) and Bong Cheon-dong (Seol Jung-hwan). When Kang Yeo-Won was a university student, she dreamed of becoming a reporter. An unexpected pregnancy, caused her to change that dream. She is now a housewife and she is busy taking care of her troublemaker in-laws, raising her child and managing her family's finances. Her husband gets into an accident and her life changes.
Bong Cheon-dong grew up in an orphanage with his younger sister. He had a heart disease, but he was able to get an operation due to Hwang Byung-rae (Seon  Woo Jae-duk). He is now a grown man. Bong Cheon-dong passes his bar exam, but he works for Hwang Byung-rae, President of Hana Beverage.
"
1236,/wiki/Uncontrollably_Fond,Uncontrollably Fond,2016,"Shin Joon-young (Kim Woo-bin) and Noh Eul (Bae Suzy) were classmates who were separated during their teenage years due to an ill-fated relationship, but later meet each other in adulthood. Shin Joon-young is now a top actor-singer while Noh Eul is a documentary producer.
"
1237,/wiki/Undercover_(2021_TV_series),Undercover (2021 TV series),2021,"Han Jeong-hyeon (Ji Jin-hee) is an agent of National Intelligence Service (South Korea) formerly Agency for National Security Planning, who has been hiding his identity for quite sometime. Choi Yeon-soo (Kim Hyun-joo), a human rights lawyer, becomes the first head of the agency for justice. These main leading characters of the series uncover the truth, pitted against a huge force holding top position. The series tests their relationship as husband and wife when the secret life of Jeong-hyeon comes to fore.
"
1238,/wiki/Unkind_Ladies,Unkind Ladies,2015,"Three generations of a family of women are led by matriarch Kang Soon-ok, a famous cooking instructor to the rich and famous. Her older daughter Kim Hyun-jung is a rising network anchor at a television station, while younger daughter Kim Hyun-sook is the black sheep of the family. Jung Ma-ri is Hyun-sook's daughter but takes after her aunt by being accomplished, and is on track to become the youngest professor at the university where she works. Ma-ri gets caught up in a love triangle between a pair of half-brothers, reporter Lee Doo-jin and kendo instructor Lee Roo-oh.
"
1239,/wiki/Unknown_Woman_(TV_series),Unknown Woman (TV series),2017,
1240,/wiki/Unstoppable_Marriage_(TV_series),Unstoppable Marriage (TV series),2007–08,"Madam Shim has four sons: Ki-baek, Yi-baek, Sam-baek, and Sa-baek. The eldest son, Ki-baek falls in love with Goo Mi-ho, the daughter of Madam Shim's enemy, Goo Gook. Third son Sam-beak becomes friends with Chae Soo-jung, a hotel management student at his mother's hotel, but things become complicated when he and older brother Yi-baek both fall for her. Soo-young and Yu-ri both have a crush on fourth son Sa-baek, but he doesn't return their feelings and constantly ignores them.
"
1241,/wiki/Until_the_Azalea_Blooms,Until the Azalea Blooms,1998,
1242,/wiki/Untouchable_(2017_TV_series),Untouchable (2017 TV series),2017–18,"Untouchable is the story of power games and hidden secrets of the Jang family who has ruled the city of Bukcheon for three generations.
"
1243,/wiki/Vagabond_(TV_series),Vagabond (TV series),2019,"Cha Dal-gun (Lee Seung-gi) works as an underrated stuntman, while simultaneously taking care of his orphaned nephew, Cha Hoon (Moon Woo-jin). Although they have a fairly loving relationship, Hoon argues with his uncle before he leaves to go on a field trip to Morocco. Just before the plane takes off, Hoon sends a video of himself encouraging Dal-gun to continue following his dream to become a master in Taekwondo. 
"
1244,/wiki/Vampire_Idol,Vampire Idol,2011–12,"A naïve vampire prince from Vampire planet visits Earth to see a live performance of his favorite idol contender. He remains stuck on Earth with his three trusted and loyal servants. He then decides to join the competition himself and struggles to become a global pop idol.
"
1245,/wiki/Vampire_Prosecutor,Vampire Prosecutor,2011–12,"Min Tae-yeon is a respected prosecutor who gets bitten and becomes a vampire. His strong sense of justice and aloof personality is shaped by his own painful past. He drinks the blood of the deceased victim, even though it causes him physical pain, in order find out what happened to them and bring the perpetrator to justice. His close associate Detective Hwang Soon-bom is the only member of the team knows about his secret.
"
1246,/wiki/Vincenzo_(TV_series),Vincenzo (TV series),2021,"At the age of eight, Park Joo-hyung (Song Joong-ki) went to Italy after being adopted by Don Fabio, head of the Cassano mafia family. Renamed Vincenzo Cassano, he became an Italian lawyer, a consigliere for the mafia, and one of Fabio’s best men until he wore out his welcome. After Fabio died, Paolo (Fabio’s biological son and new leader) tried to kill Vincenzo; he fled to Seoul to recover hidden gold within Geumga-dong Plaza. Vincenzo helped a Chinese tycoon stash his gold in a mafia-secured vault within the complex, but the tycoon died. Without anyone knowing about the vault, he planned to recover the gold and use it as his retirement fund after leaving both Italy and the mafia. However, a real estate company under Babel Group has illegally taken ownership of the building and Vincenzo must use his skills to reclaim the building and recover his fortunes. Vincenzo becomes involved with lawyer Hong Cha-young (Jeon Yeo-been), the type of attorney who will do anything to win a case.
"
1247,/wiki/VIP_(South_Korean_TV_series),VIP (South Korean TV series),2019,"The story of Sung Un Department Store's team who works for VIP clients which constitute the top 1% of their customers.
"
1248,/wiki/Voice_(TV_series),Voice (TV series),2017–present,"Moo Jin-hyuk (Jang Hyuk) is a ""mad dog"" detective who becomes guilt-ridden after his wife was murdered while he was at work. Kang Kwon-joo (Lee Ha-na) is a tough policewoman who is gifted with perfect psycho-acoustics skills and went for voice profiling. She was working at the call center when a brutal murder case took place and in the process of investigating, her father was killed. Three years later, Jin-hyuk and Kwon-joo team up as the ""Golden Time team"" and solve cases together, chasing after the serial killer who took their loved ones.
"
1249,/wiki/W_(TV_series),W (TV series),2016,"The series focuses on the eponymous fictional webtoon entitled W, written and illustrated by its legendary author and illustrator Oh Seong-moo (Kim Eui-sung) which begins to function on its own, like a distinct reality. W became so famous in South Korea that even its printed versions became best-sellers there.
"
1250,/wiki/Wang%27s_Family,Wang's Family,2014,"Wang Su-bak, the eldest daughter of the Wang family, had married into a wealthy family, but after her husband Go Min-joong goes bankrupt, she and her family have to move back into her parents' home.
"
1251,/wiki/Want_a_Taste%3F,Want a Taste?,2019–20,"Hae-Jin (Shim Yi-Young) is 36-years-old. She is married to Jin-Sang (Seo Ha-Jun), who is 6 years younger than her, and they have a daughter Yoo-Ri (Shin Bi). Hae-Jin runs a restaurant that she took over from her father-in-law. She supported her husband Jin-Sang while he studied to enter a university. Because of Hae-Jin, Jin-Sang is now attending a prestigious university, but he has an affair with Joo-Ri (Han Ga-Rim). She is the young daughter of a rich family. Hae-Jin becomes aware of her husband's affair, but she doesn't want a divorce. Meanwhile, Dae-Gu (Seo Do-Young) appears in front Hae-Jin. Dae-Gu is a drama series writer. He was once in demand for his screenwriting, but his popularity has waned. His marriage life is not doing well either.
"
1252,/wiki/Wanted_(South_Korean_TV_series),Wanted (South Korean TV series),2016,"Jung Hye-in (Kim Ah-joong) is a top actress in Korea who reigns over dramas, movies, and commercials. The drama begins when Jung Hye-in's son is kidnapped on the day she announces her retirement. With the help of PD Shin Dong-wook (Uhm Tae-woong) and police detective Cha Seung-in (Ji Hyun-woo), she ends up participating in a live reality show where she follows the kidnapper's orders, and in the process uncovers clues towards catching the culprit and finding her son.
"
1253,/wiki/War_of_Money,War of Money,2007,"Geum Na-ra was once a top-ranked investment banker, until his life falls apart when his debt-ridden father commits suicide after constantly being harassed by loan sharks. Traumatized, his mother collapses and is rushed to the hospital. Na-ra applies for a bank loan but is flatly denied, and his disgruntled boss takes advantage of Na-ra's troubles and uses them as an excuse to fire him. His mother eventually dies, despite his and his sister Eun-ji's (Lee Young-eun) desperate efforts to obtain cash to pay for her hospital fees. Newlywed Eun-ji had become a room salon hostess, while Na-ra agreed to break up with his longtime girlfriend Lee Cha-yeon (Kim Jung-hwa) in exchange for cash from Cha-yeon's disapproving grandmother Madam Bong (Yeo Woon-kay). Believing that it's the source of all evil, Na-ra declares war on money and becomes obsessed with avenging his parents' deaths. However, realizing the only way to defeat his enemy is to understand the enemy, Na-ra decides to become a loan shark himself, and begins working as a ruthless money collector for the notorious loan shark Ma Dong-po (Lee Won-jong), while learning the trade secrets along with life's philosophies from the old and legendary pro Dokgo Chul (Shin Goo) who reluctantly takes Na-ra under his wing.
"
1254,/wiki/Warm_and_Cozy,Warm and Cozy,2015,"Lee Jung-joo has struggled and worked hard all her life, but has never caught a break, leaving her perpetually grouchy. In her seven years as an administrative employee at a clothing company in Seoul, she has never missed a day of work. But that doesn't stop her from losing her job, her house and her boyfriend in quick succession, so she unwillingly sets off to start a new life in Jeju Island.
"
1255,/wiki/Warrior_Baek_Dong-soo,Warrior Baek Dong-soo,2011,"Set against the backdrop of political maneuverings in Joseon between different factions, namely those led by King Jeongjo, by the Qing ambassador, by the Japanese swordsman Kenzo, and the assassin's guild Heuksa Chorong, the series is a coming-of-age drama about brotherhood, friendship, loyalty and honor.
"
1256,/wiki/Was_It_Love%3F,Was It Love?,2020,"Noh Ae-jung (Song Ji-hyo) is a single mother with a strong survival instinct who has been single for 14 years. All of a sudden, four men who appeal to her in different ways appear in her life. She had past friendships and relationships with three out of four of these men before her pregnancy. Oh Dae-oh (Son Ho-jun) is a bad but attractive man, Ryu Jin (Song Jong-ho) is pathetic but handsome and rich, Goo Pa-do (Kim Min-joon) who is scary and sexy, and Oh Yeon-woo (Koo Ja-sung) is a flirty younger man.
"
1257,/wiki/Watcher_(TV_series),Watcher (TV series),2019,"“Watcher” is a 2019 Korean drama directed by Ahn Gil Ho.
"
1258,/wiki/We_Are_Dating_Now,We Are Dating Now,2002,"Neighbours Ho-jung and Kyo-in as youths have developed a quarrelsome relationship. As a youth Ho-jung made several blind dates, namely Jae-young, Hyun-min, Jin-sung and Jeong Hoon. Cha-hee had also dated Kyo-in during their youth, who rejected her. The girls and their family missed Kyo-in and Ho-jae when they entered the army together.
"
1259,/wiki/We_Broke_Up,We Broke Up,2015,"Ji Won-young is an aspiring musician and the lead singer of a band while Noh Woo-ri is a college student. After meeting at one of Won-young's gigs, their relationship blossomed and they soon begin living together. Things become complicated when they decide to part ways but due to various problems with the security deposit and the loan on the apartment, they are forced to remain living together until the contract is up.
Since the two are too rebellious towards each other, they end up formulating few rules for living which included not interfering in each other's life. However, Won-young's sudden suggestion of non interference in each other's love life, concerns Woo-ri and she becomes worried that Won-young already has plans of moving on soon after their break up. The same day Won-young discovers that the band's department no longer belongs to them and decides to work as a part-time in a store, there he happens to meet Yoon Ni-na, who later, on purpose takes Won-young's phone along while he is billing and leaves hers behind that was identical to his. Meanwhile, Woo-ri seems to be worried about Won-young not returning home at night and wonders if he has already started dating. The next day, she thinks a lot about calling him but tries to convince herself not to since they've already broken up. However, she ends up calling him, but when she discovers the phone to have been picked up by a woman, she immediately hangs up.
She then receives a message for an interview and determines to get a job. On the other hand, Ni-na calls up Won-young and asks him to return her phone, who is at first reluctant to do so, but then agrees when offered 300 dollars. He then goes and discovers Ni-na to be a music director who offers him a job for his band The Band I Do Not Know. He asks his band members to arrive at once and they do so. They have a wonderful program that reassures Ni-na about their talent, and she pays them sufficiently.
Woo-ri ends up at a library and meets a former classmate Seo Hyun-woo, while they both pick up the same book for the same interview, they study the whole night but Woo-ri ends up sleeping. Hyun-woo looks at her presentation and modifies it a bit to make it just perfect. The next day the two wake up in library late for the interview and rush to the office without changing. During her presentation, Woo-ri gets nervous on seeing a new presentation but boosts up on the very next slide. Both Hyun-woo and Woo-ri get selected for Gaha Entertainment at different positions.
They get to work on the first day of the job while Won-young signs an agreement to work with Ni-na. The Band I Do Not Know members celebrate at home along with Ni-na and on the other hand, Woo-ri brings along Hyun-woo to celebrate their first day at job and after seeing the band celebrating, those two join them too.
Woo-ri and Won-young envy each other's new partners. With this love hate relation, how will the two reconcile?
"
1260,/wiki/Webtoon_Hero_Toondra_Show,Webtoon Hero Toondra Show,2015–16,
1261,/wiki/Wedding_(TV_series),Wedding (TV series),2005,"Lee Se-na (Jang Nara) is a single child raised in a wealthy family and pampered by her protective parents.  She has never been hurt and naively believes that love can overcome all obstacles.  Although she has a big heart, she is selfish, not trusting, and cares mostly only about her own feelings.  One day, she meets Han Seung-woo (Ryu Si-won) through an arranged date and instantly falls in love with him.  Seung-woo is from a poor family and likes a simple and frugal life.  Although he is very honest and righteous, he has difficulty sensing other people's feelings and expressing his own.  After a short period of time, Se-na and Seung-woo decide to get married, before they have truly gotten to know one another.  We also meet Shin Yoon-soo (Myung Se-bin) and Seo Jin-hee (Lee Hyun-woo), both childhood friends of Seung-woo and each with their strengths, shortcomings, and past relationships with the main duo.  As they learn more about one another and what it means to be married, Se-na and Seung-woo soon begin to argue and fight due to their differences, past relationships, mistrust, and their insecurities about the relationship.  Their relationship deteriorates to the brink of divorce, not knowing whether they can overcome the obstacles that face them.
"
1262,/wiki/Wednesday_3:30_PM,Wednesday 3:30 PM,2017,"Story about a girl called Sun Eun-woo (Jin Ki-joo) who was dumped by her boyfriend and tries win him back by making him jealous. She manipulates her social media to create a fake ""lovestagram"" (love + Instagram) with her childhood friend Yoon Jae-won (Lee Hong-bin).
"
1263,/wiki/Weightlifting_Fairy_Kim_Bok-joo,Weightlifting Fairy Kim Bok-joo,2016–17,"Kim Bok joo (Lee Sung-Kyung), a young woman chasing her dream of weightlifting on an athlete college  campus, develops a crush on her friend Jung Joon-Hyung's (Nam Joo-Hyuk) older brother, Jung Jae-Yi (Lee Jae-Yoon). At first, Joon Hyung teases her and goes along with her act, even helping her, but soon finds himself falling in love with her. This series is a coming-of-age story about a group of college athletes who are fighting for their dreams, experiencing and finding love in the process, and growing every step of the way.
"
1264,/wiki/Welcome_(TV_series),Welcome (TV series),2020,"A graphic designer in her mid-twenties, Sol Ah harbours dreams of becoming a web-based comic author and has always had a love-hate relationship with cats.
"
1265,/wiki/Welcome_2_Life,Welcome 2 Life,2019,"The series is about a skilled lawyer who enters a parallel world due to an unfortunate accident.
"
1266,/wiki/Welcome_Rain_to_My_Life,Welcome Rain to My Life,2012,"The series revolves around Han Dan-bi (Lee Da-hee), a rude woman who was raised in a wealthy family. Her life becomes difficult after her father, a once-popular singer, meets with an accident that was planned by his wife. Dan-bi then finds out that she was adopted. Her stepmother takes advantage of her husband's comatose state to kick Dan-bi out of their house, all in a plot to sell his land to the ruthless chairman of a hospital company.
"
1267,/wiki/Welcome_to_the_Show_(TV_series),Welcome to the Show (TV series),2011,"The sitcom shows the behind-the-scenes action of idol singers, studio artists, managers and producers on SBS's <a class=""mw-redirect"" href=""/wiki/The_Music_Trend"" title=""The Music Trend"">Inkigayo</a>. The show drew its stories from idols, seniors, juniors, managers, and producers that actually run Inkigayo.
"
1268,/wiki/Welcome_to_Waikiki,Welcome to Waikiki,2018,"Three very different young men – Dong Goo (Kim Jung Hyun), who dreams of becoming a film director, Joon Ki (Lee Yi Kyung), an eccentric actor who performs to make a living, and Doo Shik (Son Seung Won), a freelancer writer who fiddles around doing nothing most of the time - open a guest house named “Waikiki” in Itaewon, where many foreigners come to stay. Although they have no clue how to run it, they’re eager to earn money to pay for the production of their upcoming film. They are joined by Dong Goo (Kim Jung Hyun)’s younger sister, Seo Jin (Ko Won Hee), who actually manages the household in Waikiki. Complications spark when single mother Yoon Ah (Jung In Sun), who has made an unexpected entrance at the guest house with her baby;
"
1269,/wiki/Welcome_to_Waikiki_2,Welcome to Waikiki 2,2019,"Now successful in their respective fields, the previous owners of Waikiki have left with the exception of Lee Joon-ki. While struggling with his career, he tries to revive the guest house amidst a bankruptcy along with the help of high-school friends.
"
1270,/wiki/What_Happens_to_My_Family%3F,What Happens to My Family?,2014–15,"Cha Soon-bong (Yoo Dong-geun) is a widower who has devoted his life to his three children. His eldest daughter Kang-shim (Kim Hyun-joo), after a failed relationship, has resigned herself to never marry and a lifetime of being alone; his eldest son Kang-jae (Yoon Park), a brilliant oncologist, is resentful of his humble origins; and his youngest son, Dal-bong (Park Hyung-sik).
"
1271,/wiki/What%27s_for_Dinner%3F_(TV_series),What's for Dinner? (TV series),2009,
1272,/wiki/What%27s_Up_(TV_series),What's Up (TV series),2011–12,"Jae-Hun (Lim Ju-Hwan) is a high school dropout who roams the streets at night with his two best friends. One day, his friends try steal from a drunk guy without Jae-Hun and are caught by the police. He tries to rescue his friends and gets involved in an accident that leads to the death of a stranger. A while later, he decides to go to university to study acting. Park Tae Yi (Kim Ji-Won) comes to Seoul to take an audition for entry into in the university. She lives in the countryside with her grandfather, and inherited her musical talents from her father.
"
1273,/wiki/What%27s_Up_Fox,What's Up Fox,2006,"Go Byung-hee (Go Hyun-jung) is a 33-year-old woman working as a reporter for a third-rate magazine, but with the heart of a  24-year-old virgin girl. She frequently finds it hard to cope with the unexciting aspects of her life. She dreams of someday working for a company that she can be proud of, and of finding the man of her fantasies: someone her age who has a good educational background and is financially stable, who'll provide warm support when she needs it, and who'll go with her on a world tour in a campervan. One day, she gets into an accident with her friend Seung-hye's younger brother, Chul-soo (Chun Jung-myung), and begins to see him in a new light. Park Chul-soo is a 24-year-old high school graduate working as a mechanic at a car repair shop. Although Chul-soo does not seem to have much, he is filled with maturity and enjoys life by doing the things he loves: working as a mechanic and traveling. How many people actually find the love they dream of? Until they realize that true love is just around the corner, this couple continues to pursue this unique romantic relationship of ""dating a friend's brother"" and ""dating my sister's friend.""
"
1274,/wiki/What%27s_Wrong_with_Secretary_Kim,What's Wrong with Secretary Kim,2018,"Lee Young-joon (Park Seo-joon) is the vice-chairman of a major corporation. His world is shaken when, one day, his highly-capable secretary, Kim Mi-so (Park Min-young), announces that she will resign from her position after working for Lee Young-joon for nine years. Young-joon then decided to do whatever he can after talking to his best friend, who happens to be a Board Director in his company, to make sure Mi-so stays by his side.
"
1275,/wiki/When_a_Man_Falls_in_Love,When a Man Falls in Love,2013,"Han Tae-sang (Song Seung-heon) is a successful but cold-blooded businessman who is unstoppable once he sets his mind on doing or getting something. He had once been a smart young man full of potential, but his dreams came to a halt when he was forced to work as a gangster for the same loan shark that destroyed his family. Since then, he has been able to build a successful business through his own blood, sweat and tears, and everything he's gotten in his life has been hard-earned. Then one day, what was supposed to have been a simple extortion job turns into a chance meeting with Seo Mi-do (Shin Se-kyung), the daughter of a modest bookstore owner. Mi-do is a troubled young woman who is full of drive and ambition; she is determined to better her life to forget the hardships of her poverty-stricken childhood. In Mi-do, Tae-sang sees so much of his own personality that he is drawn to her fire and passion. As he begins to fall in love with her, he realizes that he will do anything to protect her and try to give her a better life, perhaps to redeem himself. As the plot proceeds Mi-do meets Lee Jae-hee (Yeon Woo-jin) who falls in love with her. The story later on how Han Tae-sang,  Seo Mi-do & Lee Jae-hee deal with their mutual love and relation.
"
1276,/wiki/When_I_Was_Most_Beautiful,When I Was Most Beautiful,2020,"The drama tells the story Oh Ye-ji (Im Soo-hyang), an art student who dreams of becoming a ceramic artist. She heads to school in Yangpyeong as both a student and a teacher, where she meets brothers Seo Hwan (Ji Soo) and Seo Jin (Ha Seok-jin). Hwan, who is Ye-ji's student, falls in love with her and takes her to his father's workshop to confess his feelings. However, at the workshop, Ye-ji meets Jin. Although Jin is aware of Hwan's feelings toward Ye-ji, he does not hesitate to win over her heart and eventually gets engaged to her. Overnight, those who are meant to be each other's strongest supporters end up becoming the worst enemies thanks to a twist of fate. Straddling desire and love, the three struggle to figure out what's right during the most beautiful of their lives.
"
1277,/wiki/When_My_Love_Blooms,When My Love Blooms,2020,"Han Jae-hyun (Yoo Ji-tae) and Yoon Ji-soo (Lee Bo-young) met and fell in love when they were university students. Twenty years later, they cross paths once again: Jae-hyun has become a successful businessman who pursues wealth and honor, while Ji-soo is a mother and a contract worker living a difficult life.
"
1278,/wiki/When_the_Camellia_Blooms,When the Camellia Blooms,2019,"When the Camellia Blooms is the story of Oh Dong-baek, a single mother who moves to the fictional town of Ongsan and opens a bar named Camellia.
Six years later, Dong-baek meets playful Yong-sik, who declares his love for her. Dong-baek does not reciprocate his love, but Yong-sik persists in wooing her. When Yong-sik's mother finds out about this, she strongly opposes it, as Dong-baek is a single mother with a son, as well as the fact that Dong-baek's past lover and father of her child is trying to win her back. Yong-sik eventually gets Dong-Baek to fall for him. Meanwhile, a notorious killer sets out to claim Dong-baek as his next victim, and Yong-sik protects her fiercely, doing his job as a policeman and figuring out who the killer is.
"
1279,/wiki/When_the_Devil_Calls_Your_Name,When the Devil Calls Your Name,2019,"The series is about a man who sold his soul to a devil ten years ago to obtain fortune and fame. As his contract is soon to expire, he tries to make a deal with the devil using his life as collateral.
"
1280,/wiki/When_the_Weather_Is_Fine_(TV_series),When the Weather Is Fine (TV series),2020,"After a series of unfortunate events, cellist Mok Hae-won (Park Min-young) quits her job in Seoul and goes back to Bookhyun Village, in Gangwon Province, where she briefly lived when she was in high school. There, she meets again her former classmate and neighbor, Im Eun-seob (Seo Kang-joon) who owns a bookstore now. In the cold winter, trying to escape the harsh and bitter reality of life, they both find warmth in each other that is enough to melt their long-frozen hearts. Together, they heal from their past wounds and eventually fall in love.
"
